FFT Engine,Time (s),OMP_NUM_THREADS,MESH_SIZE
FFTW,4.667068138020113,1,400
NUMPY,6.600092843000311,1,400
NUMPY+BLAS,6.0979733660351485,1,400
BLAS,13.798435489996336,1,400
FFTW,4.663969082990661,1,400
NUMPY,6.216512494953349,1,400
NUMPY+BLAS,6.228354375984054,1,400
BLAS,13.878991162986496,1,400
FFTW,4.676615073985886,1,400
NUMPY,6.170843294996303,1,400
NUMPY+BLAS,6.146848522010259,1,400
BLAS,13.853657147032209,1,400
FFTW,4.662883685028646,1,400
NUMPY,6.213582028984092,1,400
NUMPY+BLAS,6.308797409990802,1,400
BLAS,13.866085689980537,1,400
FFTW,4.671767383988481,1,400
NUMPY,6.143224810948595,1,400
NUMPY+BLAS,6.149137719010469,1,400
BLAS,13.989912585006095,1,400
FFTW,4.659844320965931,1,400
NUMPY,6.1543600099976175,1,400
NUMPY+BLAS,6.137940423039254,1,400
BLAS,13.9160631900304,1,400
FFTW,4.680621023988351,1,400
NUMPY,6.164940034039319,1,400
NUMPY+BLAS,6.151962365955114,1,400
BLAS,13.74406994698802,1,400
FFTW,4.665754924993962,1,400
NUMPY,6.145559208001941,1,400
NUMPY+BLAS,6.160124374029692,1,400
BLAS,13.867735940031707,1,400
FFTW,4.69416762405308,1,400
NUMPY,6.1780552610289305,1,400
NUMPY+BLAS,6.145700816996396,1,400
BLAS,13.79293798096478,1,400
FFTW,4.67691180401016,1,400
NUMPY,6.141688036033884,1,400
NUMPY+BLAS,6.151433980965521,1,400
BLAS,13.91476589301601,1,400
FFTW,3.8366001679678448,2,400
NUMPY,6.237400231009815,2,400
NUMPY+BLAS,6.180868775991257,2,400
BLAS,4.734823155973572,2,400
FFTW,3.792651439027395,2,400
NUMPY,6.227192233025562,2,400
NUMPY+BLAS,6.155219670967199,2,400
BLAS,4.586980965046678,2,400
FFTW,3.886595375020988,2,400
NUMPY,6.159929107001517,2,400
NUMPY+BLAS,6.1995363350142725,2,400
BLAS,4.688070452015381,2,400
FFTW,3.869518065999728,2,400
NUMPY,6.179425502021331,2,400
NUMPY+BLAS,6.146434071008116,2,400
BLAS,4.7357358249719255,2,400
FFTW,3.8127189709921367,2,400
NUMPY,6.164256946998648,2,400
NUMPY+BLAS,6.137512771994807,2,400
BLAS,4.54489131498849,2,400
